Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Monthly Treats Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Movies and More Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank MyFirst Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank MyFirst Mastercard Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Novio RuPay Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Paisabazaar Duet Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Paisabazaar Duet Plus Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Patanjali Swarn RuPay Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Patanjali Vishisht RuPay Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Advantage Credit Card,
