Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Select Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Shoppers Stop Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Signature Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank SpiceJet Voyage Black Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Titanium Smart Traveller Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Vistara Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Vistara Infinite Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Vistara Signature Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Horizon Mastercard Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Insta Easy Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis KWIK Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Fibe Axis Bank Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Flipkart Axis Bank Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Flipkart Axis Bank Superelite Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",IndianOil Axis Bank Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",LIC Axis Bank Platinum Credit Card,
